News Heading,News Description,Date,Source,sentiment,Sentiment Class
US Congress clears first hurdle for $1.7 trillion spending deal,US senators approved an annual spending package Thursday that includes $45 billion in Ukraine aid and reforms to election law. The House minority leader urged Republican lawmakers to vote against it but the spending bill passed by 68 votes to 29.,"Published on December 22, 2022 at 22h15, updated at 22h20 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/us-congress-clears-first-hurdle-for-1-7-trillion-spending-deal_6008770_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">US Congress clears first hurdle for $1.7 trillion spending deal</h3> <p class=""teaser__desc"">US senators approved an annual spending package Thursday that includes $45 billion in Ukraine aid and reforms to election law. The House minority leader urged Republican lawmakers to vote against it but the spending bill passed by 68 votes to 29.</p> </a>",0.25,positive
Delayed France-Germany summit to be held in January,The meeting between the two governments was cancelled in October as they struggled to find common ground.,"Published on December 22, 2022 at 21h41","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/france/article/2022/12/22/delayed-france-germany-summit-to-be-held-in-january_6008768_7.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Delayed France-Germany summit to be held in January</h3> <p class=""teaser__desc"">The meeting between the two governments was cancelled in October as they struggled to find common ground.</p> </a>",0.0,neutral
Novelist Azar Nafisi: 'The Iranian people have broken the silence',"Before going into exile in the United States in 1997, the author of 'Reading Lolita in Tehran' was a professor at the University of Tehran. She now devotes herself entirely to writing and has made numerous media appearances in support of her compatriots.","Published on December 22, 2022 at 20h51","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/m-le-mag/article/2022/12/22/novelist-azar-nafisi-the-iranian-people-have-broken-the-silence_6008760_117.html""> <span class=""teaser__kicker teaser__kicker--premium"">Profile</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Novelist Azar Nafisi: 'The Iranian people have broken the silence'</h3> <p class=""teaser__desc"">Before going into exile in the United States in 1997, the author of 'Reading Lolita in Tehran' was a professor at the University of Tehran. She now devotes herself entirely to writing and has made numerous media appearances in support of her compatriots.</p> </a>",-0.4,negative
"After US trip, Zelensky meets Poland's Duda on way back to Ukraine",The Ukrainian president said the two leaders 'discussed strategic plans for the future' during his short visit to Poland.,"Published on December 22, 2022 at 19h47","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/after-us-trip-zelensky-meets-poland-s-duda-on-way-back-to-ukraine_6008755_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">After US trip, Zelensky meets Poland's Duda on way back to Ukraine</h3> <p class=""teaser__desc"">The Ukrainian president said the two leaders 'discussed strategic plans for the future' during his short visit to Poland.</p> </a>",0.0,neutral
UN experts point to Rwandan role in east DR Congo rebel crisis,A report by a group of independent investigators found that there was 'substantial evidence' of direct Rwandan army intervention in the east of the Democratic Republic of Congo.,"Published on December 22, 2022 at 18h47","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/un-experts-point-to-rwandan-role-in-east-dr-congo-rebel-crisis_6008751_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">UN experts point to Rwandan role in east DR Congo rebel crisis</h3> <p class=""teaser__desc"">A report by a group of independent investigators found that there was 'substantial evidence' of direct Rwandan army intervention in the east of the Democratic Republic of Congo.</p> </a>",0.0,neutral
Spain institutional crisis 'set to last' after court blocks judicial reform,Conservatives and socialists have been in a bitter dispute over control of judicial appointments.,"Published on December 22, 2022 at 17h36, updated at 17h37 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/spain-faces-institutional-crisis-set-to-last-after-court-blocks-judicial-reform_6008745_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Spain institutional crisis 'set to last' after court blocks judicial reform</h3> <p class=""teaser__desc"">Conservatives and socialists have been in a bitter dispute over control of judicial appointments.</p> </a>",0.0,neutral
'Qatargate': 'The EU is neglecting to implement criminal prohibitions to defend its democracy',"While the Belgian justice system is at work on the 'Qatargate' scandal, the same cannot be said of the European justice system, which has no means of prosecuting non-financial corruption, explains lawyer Juliette Lelieur.","Published on December 22, 2022 at 17h15, updated at 05h23 on December 23, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/opinion/article/2022/12/22/qatargate-the-eu-is-neglecting-to-implement-criminal-prohibitions-to-defend-its-democracy_6008739_23.html""> <span class=""teaser__kicker teaser__kicker--premium"">Op-Ed</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">'Qatargate': 'The EU is neglecting to implement criminal prohibitions to defend its democracy'</h3> <p class=""teaser__desc"">While the Belgian justice system is at work on the 'Qatargate' scandal, the same cannot be said of the European justice system, which has no means of prosecuting non-financial corruption, explains lawyer Juliette Lelieur.</p> </a>",-0.4,negative
'Qatargate was made possible by loopholes in current transparency and ethics rules',"Hans van Scharen and Pascoe Sabido, members of the Corporate Europe Observatory, an NGO that looks at the impact of lobbyists on EU policymaking, call on the EU to close the door on lobbying from repressive regimes.","Published on December 22, 2022 at 16h15","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/opinion/article/2022/12/22/qatargate-was-made-possible-by-loopholes-in-current-transparency-and-ethics-rules_6008736_23.html""> <span class=""teaser__kicker teaser__kicker--premium"">Op-Ed</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">'Qatargate was made possible by loopholes in current transparency and ethics rules'</h3> <p class=""teaser__desc"">Hans van Scharen and Pascoe Sabido, members of the Corporate Europe Observatory, an NGO that looks at the impact of lobbyists on EU policymaking, call on the EU to close the door on lobbying from repressive regimes.</p> </a>",0.0,neutral
"Some 2,000 asylum seekers will sleep rough on Brussels' streets this winter","Between 2,000 and 3,000 asylum seekers are sleeping in small tents or on cardboard boxes in Brussels.","Published on December 22, 2022 at 15h49, updated at 15h52 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/some-2-000-asylum-seekers-will-sleep-rough-on-brussels-streets-this-winter_6008733_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Some 2,000 asylum seekers will sleep rough on Brussels' streets this winter</h3> <p class=""teaser__desc"">Between 2,000 and 3,000 asylum seekers are sleeping in small tents or on cardboard boxes in Brussels.</p> </a>",-0.1,negative
Zelensky visit to Washington cements alliance between Kyiv and the United States,"'Your money is not charity. It's an investment in global security and democracy,' the Ukrainian president said in a speech to members of Congress.","Published on December 22, 2022 at 15h10, updated at 15h12 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/zelensky-visit-to-washington-cements-alliance-between-kyiv-and-the-united-states_6008730_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Zelensky visit to Washington cements alliance between Kyiv and the United States</h3> <p class=""teaser__desc"">'Your money is not charity. It's an investment in global security and democracy,' the Ukrainian president said in a speech to members of Congress.</p> </a>",0.0,neutral
China tries to downplay number of Covid-19 deaths,Crematoriums are overflowing in Beijing and other major cities as the number of deceased continues to grow.,"Published on December 22, 2022 at 14h45, updated at 14h45 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/covid-19-pandemic/article/2022/12/22/china-tries-to-downplay-number-of-covid-19-deaths_6008727_122.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">China tries to downplay number of Covid-19 deaths</h3> <p class=""teaser__desc"">Crematoriums are overflowing in Beijing and other major cities as the number of deceased continues to grow.</p> </a>",-0.1,negative
'Qatargate': Eva Kaili denied pre-trial release over EU Parliament corruption scandal,Lawyers for the former European Parliament vice president had asked that she be released with a tracking device.,"Published on December 22, 2022 at 14h41, updated at 19h24 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/qatargate-eva-kaili-s-lawyers-seek-release-in-eu-parliament-corruption-scandal_6008724_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">'Qatargate': Eva Kaili denied pre-trial release over EU Parliament corruption scandal</h3> <p class=""teaser__desc"">Lawyers for the former European Parliament vice president had asked that she be released with a tracking device.</p> </a>",0.0,neutral
Tired and angry British healthcare workers confront government,"Nurses and ambulance workers are ready for a hard and long standoff, but Downing Street is still looking away.","Published on December 22, 2022 at 14h11","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/tired-and-angry-british-healthcare-workers-confront-government_6008717_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Tired and angry British healthcare workers confront government</h3> <p class=""teaser__desc"">Nurses and ambulance workers are ready for a hard and long standoff, but Downing Street is still looking away.</p> </a>",-0.3,negative
Macron on Ukraine: 'I don't want the Chinese and Turks to be the only ones negotiating the day after',"The French president told 'Le Monde' he backed a strategy of 'absolute defense of Ukraine', although he is also keen to anticipate the end of the conflict.","Published on December 22, 2022 at 12h54, updated at 13h01 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/macron-on-ukraine-i-don-t-want-the-chinese-and-turks-to-be-the-only-ones-negotiating-the-day-after_6008711_4.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Macron on Ukraine: 'I don't want the Chinese and Turks to be the only ones negotiating the day after'</h3> <p class=""teaser__desc"">The French president told 'Le Monde' he backed a strategy of 'absolute defense of Ukraine', although he is also keen to anticipate the end of the conflict.</p> </a>",0.0,neutral
Ukraine: Zelensky looks to win war of symbols,"By visiting Washington, the Ukrainian president wanted to thank the United States. He will probably be eager to pay the same tribute to his European allies.","Published on December 22, 2022 at 12h45, updated at 12h52 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/ukraine-zelensky-looks-to-win-war-of-symbols_6008707_4.html""> <span class=""teaser__kicker"">Editorial</span> <h3 class=""teaser__title"">Ukraine: Zelensky looks to win war of symbols</h3> <p class=""teaser__desc"">By visiting Washington, the Ukrainian president wanted to thank the United States. He will probably be eager to pay the same tribute to his European allies.</p> </a>",0.8,positive
Netanyahu forms Israel's most right-wing government ever,"The prime minister was forced to make major concessions to his far-right allies, including Jewish supremacist Itamar Ben Gvir.","Published on December 22, 2022 at 11h45, updated at 11h46 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/netanyahu-forms-israel-s-most-right-wing-government-ever_6008698_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">In Depth</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Netanyahu forms Israel's most right-wing government ever</h3> <p class=""teaser__desc"">The prime minister was forced to make major concessions to his far-right allies, including Jewish supremacist Itamar Ben Gvir.</p> </a>",0.5,positive
"Terry Hall, lead singer of The Specials and emblem of British ska","Born in Coventry, the iconic lead vocalist of the British band The Specials died on Sunday, December 18, aged 63.","Published on December 22, 2022 at 11h25, updated at 11h27 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/obituaries/article/2022/12/22/terry-hall-lead-singer-of-the-specials-and-emblem-of-british-ska-dies_6008693_15.html""> <span class=""teaser__kicker"">Obituary</span> <h3 class=""teaser__title"">Terry Hall, lead singer of The Specials and emblem of British ska</h3> <p class=""teaser__desc"">Born in Coventry, the iconic lead vocalist of the British band The Specials died on Sunday, December 18, aged 63.</p> </a>",0.0,neutral
Indonesia's new morally strict criminal code sparks debate,"The government has come out in defense of the new code adopted by parliament on Tuesday, December 6, which penalizes sexual relations outside of marriage.","Published on December 22, 2022 at 10h37","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/indonesia-s-new-morally-strict-criminal-code-sparks-debate_6008690_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">News</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">Indonesia's new morally strict criminal code sparks debate</h3> <p class=""teaser__desc"">The government has come out in defense of the new code adopted by parliament on Tuesday, December 6, which penalizes sexual relations outside of marriage.</p> </a>",-0.08787878787878789,negative
Argentina's government defends messy World Cup parade,The World Cup winners had to be airlifted by helicopter after massive crowds brought their bus parade to a standstill.,"Published on December 22, 2022 at 10h03","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/sports/article/2022/12/22/argentina-s-government-defends-messy-world-cup-parade_6008685_9.html""> <span class=""teaser__kicker"">News</span> <h3 class=""teaser__title"">Argentina's government defends messy World Cup parade</h3> <p class=""teaser__desc"">The World Cup winners had to be airlifted by helicopter after massive crowds brought their bus parade to a standstill.</p> </a>",-0.225,negative
India brings diplomats on tour of nationalist's prison cell,"As India prepared to take the G20 presidency, officials imposed on foreign delegations a visit to the cell of Vinayak Damodar Savarkar, an icon of Hindu nationalists imprisoned by the British.","Published on December 22, 2022 at 09h48","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/india-brings-diplomats-on-tour-of-nationalist-s-prison-cell_6008682_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">Letter from...</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">India brings diplomats on tour of nationalist's prison cell</h3> <p class=""teaser__desc"">As India prepared to take the G20 presidency, officials imposed on foreign delegations a visit to the cell of Vinayak Damodar Savarkar, an icon of Hindu nationalists imprisoned by the British.</p> </a>",0.0,neutral
"The Patriot system, a symbol of 'American power projection'","Washington confirmed delivery to Kyiv of one of these surface-to-air missile systems on Wednesday, December 22.","Published on December 22, 2022 at 07h58, updated at 11h03 on December 22, 2022","<a class=""teaser__link"" href=""https://www.lemonde.fr/en/international/article/2022/12/22/the-patriot-system-a-symbol-of-american-power-projection_6008675_4.html""> <span class=""teaser__kicker teaser__kicker--premium"">In Depth</span> <span class=""icon__premium""><span class=""sr-only"">Subscribers only</span></span> <h3 class=""teaser__title"">The Patriot system, a symbol of 'American power projection'</h3> <p class=""teaser__desc"">Washington confirmed delivery to Kyiv of one of these surface-to-air missile systems on Wednesday, December 22.</p> </a>",0.0,neutral
